GeneId	Symbol	#transcripts regulated	total #transcripts for gene	mean log2(fold change) of reg. trans.	min fold change of reg. trans.	max fold change of reg. trans.	fc stddev	min p_value	mean NE(treat.reg.)	stddev NE(treat.reg.)	mean NE(ctrl.reg.)	stddev NE(ctrl.reg.)	mean RPKM(treat.reg.)	stddev RPKM(treat.reg.)	mean RPKM(ctrl.reg.)	stddev RPKM(ctrl.reg.)
20604	Sst	3	3	5.429	5.429	5.429	0.000	2.32e-02	0.03158	0.000	0.00080	0.000	2.93178	0.007	0.07130	0.000
545859	Vax2os2	7	7	5.051	4.185	5.990	0.614	4.16e-55	0.21635	0.121	0.00599	0.003	20.77007	11.281	0.57457	0.258
20592	Kdm5d	7	7	4.692	4.692	4.692	0.000	1.00e+00	0.00062	0.000	0.00001	0.000	0.07977	0.026	0.00111	0.002
24113	Vax2	2	2	4.491	4.491	4.491	0.000	2.22e-27	0.23783	0.000	0.01064	0.000	22.64368	0.000	1.05472	0.000
73874	4930419G24Rik	4	4	4.014	4.014	4.014	0.000	1.00e+00	0.00164	0.000	0.00007	0.000	0.31070	0.000	0.02015	0.000
17974	Nck2	5	12	3.984	3.355	4.355	0.457	1.00e+00	0.00336	0.000	0.00021	0.000	0.29999	0.010	0.02112	0.008
19329	Rab17	10	10	3.858	1.107	4.429	1.089	1.00e+00	0.00246	0.001	0.00018	0.000	0.23743	0.077	0.01670	0.007
15486	Hsd17b2	3	3	3.759	3.759	3.759	0.000	1.30e-05	0.04218	0.000	0.00280	0.000	4.52232	0.003	0.34995	0.000
12961	Crybb2	4	4	3.566	3.566	3.566	0.000	1.00e+00	0.00317	0.000	0.00031	0.000	0.31199	0.027	0.02759	0.002
330796	E230016D10	1	1	3.566	3.566	3.566	0.000	1.00e+00	0.00094	0.000	0.00008	0.000	0.08388	0.000	0.00742	0.000
100504616	Gm15910	2	2	3.429	3.429	3.429	0.000	1.00e+00	0.00083	0.000	0.00008	0.000	0.07373	0.000	0.00717	0.000
625353	Vmn2r35	1	1	3.429	3.429	3.429	0.000	1.00e+00	0.00095	0.000	0.00009	0.000	0.16936	0.000	0.01648	0.000
381838	Vmn2r43	1	1	3.429	3.429	3.429	0.000	1.00e+00	0.00086	0.000	0.00008	0.000	0.15406	0.000	0.01499	0.000
100042591	Vmn2r31	1	1	3.429	3.429	3.429	0.000	1.00e+00	0.00095	0.000	0.00009	0.000	0.16949	0.000	0.01649	0.000
257882	Olfr1344	2	2	3.303	2.914	3.692	0.389	1.00e+00	0.00228	0.000	0.00024	0.000	0.20333	0.045	0.02108	0.001
74184	2310065F04Rik	4	4	3.277	3.277	3.277	0.000	1.00e+00	0.00089	0.000	0.00006	0.000	0.14004	0.060	0.00507	0.009
100041241	Gm3227	4	4	3.277	3.277	3.277	0.000	1.00e+00	0.00091	0.000	0.00011	0.000	0.09102	0.000	0.00984	0.000
68163	A930006D01Rik	5	5	3.277	3.277	3.277	0.000	1.00e+00	0.00243	0.000	0.00021	0.000	0.21739	0.004	0.01892	0.009
21407	Tcf15	2	2	3.277	3.277	3.277	0.000	1.00e+00	0.00231	0.000	0.00025	0.000	0.20644	0.005	0.02231	0.001
667766	Gm8801	1	2	3.277	3.277	3.277	0.000	1.00e+00	0.00114	0.000	0.00022	0.000	0.18537	0.000	0.02004	0.000
77854	E130111B04Rik	2	2	3.277	3.277	3.277	0.000	1.00e+00	0.00273	0.000	0.00053	0.000	0.43830	0.000	0.04738	0.000
768271	BE949265	2	2	3.232	3.232	3.232	0.000	1.66e-01	0.03567	0.000	0.00358	0.000	3.28212	0.000	0.36585	0.000
385380	Tex28	4	4	3.131	2.692	3.277	0.253	1.00e+00	0.00147	0.000	0.00018	0.000	0.13217	0.012	0.01580	0.001
239852	Zpld1	7	7	3.107	3.107	3.107	0.000	1.00e+00	0.00043	0.000	0.00008	0.000	0.07703	0.017	0.00736	0.003
20346	Sema3a	2	13	3.107	3.107	3.107	0.000	1.00e+00	0.00066	0.000	0.00011	0.000	0.07866	0.011	0.00957	0.001
70241	2810416A17Rik	1	1	3.107	3.107	3.107	0.000	1.00e+00	0.00170	0.000	0.00021	0.000	0.15219	0.000	0.01851	0.000
100862543	LOC100862543	2	2	3.107	3.107	3.107	0.000	1.00e+00	0.00052	0.000	0.00008	0.000	0.06116	0.008	0.00743	0.001
100043831	Gm4681	1	1	3.107	3.107	3.107	0.000	1.00e+00	0.00111	0.000	0.00018	0.000	0.13192	0.000	0.01604	0.000
100862252	LOC100862252	2	2	3.107	3.107	3.107	0.000	1.00e+00	0.00052	0.000	0.00008	0.000	0.06116	0.008	0.00743	0.001
27384	Akr1c13	1	5	3.107	3.107	3.107	0.000	1.00e+00	0.00398	0.000	0.00051	0.000	0.56922	0.000	0.06922	0.000
78569	9630015K15Rik	1	1	3.107	3.107	3.107	0.000	1.00e+00	0.00344	0.000	0.00023	0.000	0.30758	0.000	0.03740	0.000
22422	Wnt7b	9	9	3.047	2.926	3.914	0.307	7.92e-02	0.00869	0.001	0.00117	0.000	0.80071	0.062	0.10476	0.022
52409	D5Ertd798e	1	1	3.014	3.014	3.014	0.000	1.00e+00	0.00170	0.000	0.00022	0.000	0.15212	0.000	0.01973	0.000
75196	Ankrd7	6	6	3.014	3.014	3.014	0.000	1.00e+00	0.00232	0.000	0.00021	0.000	0.28326	0.013	0.03674	0.002
17906	Myl2	8	9	2.964	2.107	3.107	0.350	1.00e+00	0.00221	0.001	0.00037	0.000	0.26652	0.071	0.03342	0.014
100861596	LOC100861596	3	3	2.914	2.914	2.914	0.000	1.00e+00	0.00087	0.000	0.00004	0.000	0.07825	0.009	0.00323	0.005
13799	En2	3	3	2.914	2.914	2.914	0.000	1.00e+00	0.00044	0.000	0.00006	0.000	0.03918	0.006	0.00545	0.001
330602	Gm5115	1	2	2.914	2.914	2.914	0.000	1.00e+00	0.00113	0.000	0.00016	0.000	0.10126	0.000	0.01407	0.000
226278	Prlhr	2	2	2.914	2.914	2.914	0.000	1.00e+00	0.00109	0.000	0.00015	0.000	0.09759	0.000	0.01356	0.000
27211	Snord35a	1	1	2.914	2.914	2.914	0.000	1.00e+00	0.01929	0.000	0.00268	0.000	1.72365	0.000	0.23954	0.000
74934	Armc4	3	3	2.914	2.914	2.914	0.000	1.00e+00	0.00030	0.000	0.00005	0.000	0.04070	0.005	0.00409	0.003
676369	Gm14340	2	2	2.914	2.914	2.914	0.000	1.00e+00	0.00090	0.000	0.00012	0.000	0.08019	0.000	0.01114	0.000
403342	C130015C19	1	1	2.914	2.914	2.914	0.000	1.00e+00	0.00072	0.000	0.00010	0.000	0.06446	0.000	0.00896	0.000
100504592	1700104B16Rik	3	3	2.914	2.914	2.914	0.000	1.00e+00	0.00305	0.000	0.00042	0.000	0.27282	0.003	0.03792	0.000
552882	LOC552882	1	1	2.914	2.914	2.914	0.000	1.00e+00	0.00049	0.000	0.00007	0.000	0.04408	0.000	0.00613	0.000
319156	Hist1h4d	2	2	2.914	2.914	2.914	0.000	1.00e+00	0.00494	0.001	0.00069	0.000	0.44101	0.051	0.06129	0.007
240916	Vsig8	5	6	2.886	2.844	2.914	0.034	1.00e+00	0.00265	0.000	0.00043	0.000	0.26872	0.016	0.03815	0.003
12970	Crygs	4	4	2.857	2.107	3.107	0.433	1.00e+00	0.00163	0.000	0.00037	0.000	0.22787	0.036	0.03274	0.004
12994	Csn3	12	12	2.825	2.662	2.955	0.146	1.00e+00	0.00624	0.004	0.00095	0.001	0.64778	0.436	0.09685	0.078
17167	Marco	6	6	2.807	2.807	2.807	0.000	1.00e+00	0.00081	0.000	0.00023	0.000	0.14789	0.051	0.02101	0.010
268958	Capn11	6	6	2.791	2.243	2.936	0.274	1.26e-06	0.02410	0.009	0.00369	0.002	3.24298	1.211	0.47460	0.218
223780	Adm2	2	2	2.770	2.770	2.770	0.000	1.00e+00	0.00375	0.000	0.00069	0.000	0.39865	0.001	0.06123	0.000
320179	B230216C01Rik	2	2	2.768	2.429	3.107	0.339	1.00e+00	0.00057	0.000	0.00009	0.000	0.05149	0.012	0.00771	0.000
67656	4930548H24Rik	3	3	2.766	2.692	2.914	0.105	1.00e+00	0.00104	0.000	0.00016	0.000	0.09278	0.001	0.01432	0.001
171170	Mbnl3	10	14	2.710	1.329	3.429	0.831	1.00e+00	0.00062	0.000	0.00016	0.000	0.09192	0.039	0.01412	0.009
15013	H2-Q2	4	4	2.703	2.485	2.914	0.211	8.55e-01	0.01201	0.001	0.00204	0.000	1.20078	0.065	0.19584	0.034
327956	Vmo1	2	2	2.692	2.692	2.692	0.000	1.00e+00	0.00375	0.000	0.00054	0.000	0.39134	0.000	0.06345	0.000
100504207	Gm1082	2	2	2.692	2.692	2.692	0.000	1.00e+00	0.00037	0.000	0.00009	0.000	0.04966	0.000	0.00805	0.000
100505027	LOC100505027	2	2	2.692	2.692	2.692	0.000	1.00e+00	0.00071	0.000	0.00006	0.000	0.06413	0.005	0.00479	0.005
100502697	Gm19327	2	2	2.692	2.692	2.692	0.000	1.00e+00	0.00044	0.000	0.00007	0.000	0.03977	0.000	0.00645	0.000
100316870	Gm17821	1	1	2.692	2.692	2.692	0.000	1.00e+00	0.00012	0.000	0.00002	0.000	0.01049	0.000	0.00170	0.000
73020	2900073C17Rik	1	1	2.692	2.692	2.692	0.000	1.00e+00	0.00128	0.000	0.00021	0.000	0.11474	0.000	0.01860	0.000
100040792	Gm11627	3	3	2.692	2.692	2.692	0.000	1.00e+00	0.00206	0.000	0.00033	0.000	0.18454	0.014	0.02992	0.002
665037	Gm7457	2	5	2.692	2.692	2.692	0.000	1.00e+00	0.00080	0.000	0.00013	0.000	0.07119	0.000	0.01154	0.000
319871	4732490B19Rik	3	3	2.692	2.692	2.692	0.000	1.00e+00	0.00061	0.000	0.00007	0.000	0.05496	0.002	0.00581	0.004
213980	Fbxw10	1	9	2.692	2.692	2.692	0.000	1.00e+00	0.00103	0.000	0.00052	0.000	0.28523	0.000	0.04625	0.000
100415916	Gm15997	3	3	2.692	2.692	2.692	0.000	1.00e+00	0.00099	0.000	0.00016	0.000	0.08819	0.000	0.01430	0.000
19146	Tmprss15	8	8	2.692	2.692	2.692	0.000	1.00e+00	0.00021	0.000	0.00007	0.000	0.03778	0.007	0.00613	0.001
81879	Tfcp2l1	1	7	2.692	2.692	2.692	0.000	1.00e+00	0.00051	0.000	0.00008	0.000	0.04591	0.000	0.00744	0.000
73782	4930421P22Rik	1	1	2.692	2.692	2.692	0.000	1.00e+00	0.00193	0.000	0.00038	0.000	0.20674	0.000	0.03352	0.000
320964	B230378D16Rik	2	3	2.692	2.692	2.692	0.000	1.00e+00	0.00057	0.000	0.00009	0.000	0.05101	0.004	0.00827	0.001
320214	4932425I24Rik	9	9	2.662	1.914	3.194	0.430	1.00e+00	0.00150	0.000	0.00037	0.000	0.23843	0.060	0.03601	0.019
74561	Nkx6-3	5	5	2.626	2.429	2.692	0.114	1.00e+00	0.00077	0.000	0.00009	0.000	0.06880	0.021	0.00796	0.004
12507	Cd5	6	6	2.621	0.000	3.277	1.311	1.00e+00	0.00099	0.001	0.00015	0.000	0.13175	0.086	0.01389	0.010
258783	Olfr920	4	4	2.604	2.429	2.692	0.124	1.00e+00	0.00140	0.000	0.00023	0.000	0.14635	0.035	0.02087	0.014
65971	Tbata	21	21	2.532	1.981	2.807	0.389	1.00e+00	0.00118	0.000	0.00008	0.000	0.15729	0.029	0.00995	0.016
432589	Gm11541	3	3	2.522	2.522	2.522	0.000	1.00e+00	0.00223	0.000	0.00037	0.000	0.20859	0.000	0.03805	0.000
100505143	LOC100505143	4	4	2.480	2.222	2.566	0.149	1.00e+00	0.00162	0.000	0.00030	0.000	0.14392	0.005	0.02706	0.002
619313	I730030J21Rik	4	4	2.455	2.107	2.914	0.357	1.00e+00	0.00106	0.000	0.00028	0.000	0.11926	0.027	0.02436	0.009
110935	Atp6v1b1	9	9	2.441	1.522	2.609	0.350	1.00e+00	0.00193	0.000	0.00037	0.000	0.18121	0.025	0.03350	0.015
56554	Raet1d	2	2	2.429	2.429	2.429	0.000	1.00e+00	0.00097	0.000	0.00019	0.000	0.08628	0.000	0.01679	0.000
621705	Gm6253	4	4	2.429	2.429	2.429	0.000	1.00e+00	0.00213	0.001	0.00006	0.000	0.19020	0.049	0.00509	0.009
319852	9430064G09Rik	2	2	2.429	2.429	2.429	0.000	1.00e+00	0.00052	0.000	0.00006	0.000	0.04593	0.015	0.00598	0.006
433297	Gm5526	2	4	2.429	2.429	2.429	0.000	1.00e+00	0.00279	0.000	0.00054	0.000	0.24967	0.009	0.04858	0.002
75921	4930578M07Rik	2	2	2.429	2.429	2.429	0.000	1.00e+00	0.00171	0.001	0.00034	0.000	0.15340	0.045	0.02985	0.009
319391	D230014I24Rik	1	1	2.429	2.429	2.429	0.000	1.00e+00	0.00073	0.000	0.00014	0.000	0.06530	0.000	0.01271	0.000
434175	Gm5593	4	4	2.429	2.429	2.429	0.000	1.00e+00	0.00420	0.001	0.00082	0.000	0.37539	0.051	0.07304	0.010
100505156	LOC100505156	1	1	2.429	2.429	2.429	0.000	1.00e+00	0.00236	0.000	0.00046	0.000	0.21072	0.000	0.04100	0.000
